artist,genre,genre_id,track_name
Nicki Minaj,Hip Hop/Rap,18,Chun-Li
Nicki Minaj,Hip Hop/Rap,18,Barbie Tingz
Nicki Minaj,Hip Hop/Rap,18,Wamables
Nicki Minaj,Hip Hop/Rap,18,Win Again
Nicki Minaj,Hip Hop/Rap,18,Shanghai
Nicki Minaj,Hip Hop/Rap,18,Fire Burns
Nicki Minaj,Hip Hop/Rap,18,Mona Lisa
Nicki Minaj,Hip Hop/Rap,18,Roman Holiday
Nicki Minaj,Hip Hop/Rap,18,Your Love
Nicki Minaj,Hip Hop/Rap,18,Beautiful Sinner
Nicki Minaj,Hip Hop/Rap,18,Chi-Raq & Pills n Potions (BET Awards 2014) [Live]
Nicki Minaj,Hip Hop/Rap,18,Up In Flames
Nicki Minaj,Hip Hop/Rap,18,YMCMB & Beats By Dre Presents: The Pinkprint Movie
Nicki Minaj,Hip Hop/Rap,18,Young Forever
Nicki Minaj,Hip Hop/Rap,18,I Lied
Nicki Minaj,Hip Hop/Rap,18,Roman In Moscow
Nicki Minaj,Hip Hop/Rap,18,Masquerade
Nicki Minaj,Hip Hop/Rap,18,Here I Am
Nicki Minaj,Hip Hop/Rap,18,Save Me
Nicki Minaj,Hip Hop/Rap,18,Catch Me
Nicki Minaj,Hip Hop/Rap,18,Want Some More
Nicki Minaj,Hip Hop/Rap,18,HOV Lane
Nicki Minaj,Hip Hop/Rap,18,Anaconda
Nicki Minaj,Hip Hop/Rap,18,Dear Old Nicki
Nicki Minaj,Hip Hop/Rap,18,Girls Fall Like Dominoes
Nicki Minaj,Hip Hop/Rap,18,Va Va Voom
Nicki Minaj,Hip Hop/Rap,18,All Things Go
Nicki Minaj,Hip Hop/Rap,18,Automatic
Nicki Minaj,Hip Hop/Rap,18,Marilyn Monroe
Nicki Minaj,Hip Hop/Rap,18,Whip It
Nicki Minaj,Hip Hop/Rap,18,Stupid Hoe
Nicki Minaj,Hip Hop/Rap,18,Regret in Your Tears
Nicki Minaj,Hip Hop/Rap,18,The Night Is Still Young
Nicki Minaj,Hip Hop/Rap,18,Muny
Nicki Minaj,Hip Hop/Rap,18,Blow Ya Mind
Nicki Minaj,Hip Hop/Rap,18,Four Door Aventador
Nicki Minaj,Hip Hop/Rap,18,Pills ’n’ Potions
Nicki Minaj,Hip Hop/Rap,18,The Crying Game
Nicki Minaj,Hip Hop/Rap,18,Freedom
Nicki Minaj,Hip Hop/Rap,18,Come On A Cone
Nicki Minaj,Hip Hop/Rap,18,Put You in a Room
Nicki Minaj,Hip Hop/Rap,18,Starships
Nicki Minaj,Hip Hop/Rap,18,I'm the Best
Nicki Minaj,Hip Hop/Rap,18,Grand Piano
Nicki Minaj,Hip Hop/Rap,18,Wave Ya Hand
