artist,genre,genre_id,,,
Bertie Higgins,Pop,14,,,
Big Sean,Hip Hop,18,,,
Big Sean,Rap,18,,,
Bigbang,Rock,21,,,
Billy Joel,Rock,21,,,
Bipolar Sunshine,Alternative,20,,,
Blackmill,Electronic,7,,,
Blake Shelton,Country,6,,,
BlasterJaxx,Dance,17,,,
Blue Stahli,Electronic,7,,,
Bob Dylan,Blues,2,,,
Bob Dylan,Rock,21,,,
Bob Marley,Reggae,24,,,
Bobby Shmurda,Hip Hop,18,,,
Bobby Shmurda,Rap,18,,,
Bobby Solo,Pop,14,,,
Bobby Tinsley,R&B,15,,,
Bobby Tinsley,Soul,15,,,
Bodhi Jones,Pop,14,,,
Bodybangers,Dance,17,,,
Boehm,Dance,17,,,
Borgeous,Dance,17,,,
Boyce Avenue,Singer,1160,,,
Boyce Avenue,Singer,10,,,
Boyce Avenue,Songwriter,1160,,,
Boyce Avenue,Songwriter,10,,,
Brad Paisley,Country,6,,,
Braken,Dance,17,,,
Brandon Beal,Pop,14,,,
Brandon Heath,Christian & Gospel,22,,,
Brazzaville,Rock,21,,,
Brenton Mattheus,Electronic,7,,,
Brian Crain,Classical,5,,,
Brian Crain,Country,6,,,
Brian Culbertson,Jazz,11,,,
Brian McKnight,Rock,21,,,
Brian McKnight,R&B,15,,,
Brian McKnight,Soul,15,,,
Brian Tyler,Soundtrack,16,,,
Bruce Springsteen,Pop,14,,,
Bruce Springsteen,Rock,21,,,
Bruno Coulais,Pop,14,,,
Bruno Coulais,Soundtrack,16,,,
Bruno Mars,Pop,14,,,
Bryan Adams,Soundtrack,16,,,
Bryan Adams,Rock,21,,,
Bryson Andres,Pop,14,,,
Bryson Tiller,R&B,15,,,
Bryson Tiller,Soul,15,,,
BT,Electronic,7,,,
BT,Pop,14,,,
BT,Dance,17,,,
BT,Techno,1050,,,
BT,Trance,1051,,,
Buckethead,Pop,14,,,
Buckethead,Instrumental,53,,,
Buddy Guy,Blues,2,,,
Built By Titan,Electronic,7,,,
Busta Rhymes,Hip Hop,18,,,
Busta Rhymes,Rap,18,,,
C418,Electronic,7,,,
Cali,Pop,14,,,
Cali,Rock,21,,,
Cali,French Pop,50000064,,,
Cali,Hip Hop,18,,,
Cali,Rap,18,,,
Calvin Harris,Pop,14,,,
Calvin Harris,Dance,17,,,
Calvin Harris,Rock,21,,,
Calvin Harris,House,1048,,,
Carlos Santana,Rock,21,,,
Carlprit,Dance,17,,,
Carter Burwell,Pop,14,,,
Carter Burwell,Soundtrack,16,,,
Cedric Gervais,Dance,17,,,
CeeLo Green,Pop,14,,,
Celldweller,Electronic,7,,,
Charlie Puth,Pop,14,,,
Charlie Wilson,Pop,14,,,
Charlie Wilson,R&B,15,,,
Charlie Wilson,Soul,15,,,
Chet Atkins,Christmas,1080,,,
Chet Atkins,Country,6,,,
Chet Baker,Jazz,11,,,
Chicane,Dance,17,,,
Chicane,Rock,21,,,
Chris Botti,Jazz,11,,,
Chris Brown,Electronic,7,,,
Chris Brown,Pop,14,,,
Chris Brown,Soundtrack,16,,,
Chris Brown,Dance,17,,,
Chris Brown,Alternative,20,,,
Chris Brown,Rock,21,,,
Chris Brown,R&B,15,,,
Chris Brown,Hip Hop,18,,,
Chris Brown,Soul,15,,,
Chris Brown,Rap,18,,,
Chris Garneau,Alternative,20,,,
Chris Lake,Electronic,7,,,
Chris Lake,Dance,17,,,
Chris Medina,Pop,14,,,
Chris Rice,Pop,14,,,
Chris Rice,Alternative,20,,,
Chris Rice,Christian & Gospel,22,,,
Chris Thrace,Dance,17,,,
Chris Young,Country,6,,,
Chris Young,Electronic,7,,,
Chris Young,Rock,21,,,
Chris Young,Hip Hop,18,,,
Chris Young,Rap,18,,,
Christophe Beck,Soundtrack,16,,,
Christopher,Blues,2,,,
Christopher,Pop,14,,,
Christopher,Rock,21,,,
Christopher,Christian & Gospel,22,,,
Christopher,Instrumental,53,,,
Chuck Berry,Pop,14,,,
Chuck Berry,Rock,21,,,
Chuck Berry,Oldies,1293,,,
CHUCKIE,Dance,17,,,
CHUCKIE,Hip Hop,18,,,
CHUCKIE,Rap,18,,,
Civalias,Rock,21,,,
ClÌ©ment Bcx,Dance,17,,,
Claude Debussy,Classical,5,,,
Claude Debussy,Soundtrack,16,,,
Claydee,Dance,17,,,
Cliff Lin,Rock,21,,,
Clint Mansell,Soundtrack,16,,,
CMA,Electronic,7,,,
CMA,Hip Hop,18,,,
CMA,Rap,18,,,
Cody Simpson,Pop,14,,,
Coleman Hell,Alternative,20,,,
Collin McLoughlin,Pop,14,,,
Conor Maynard,Pop,14,,,
Conrad Sewell,Pop,14,,,
Conrank,Electronic,7,,,
Contiez,Dance,17,,,
Coolio,Rock,21,,,
Coolio,Hip Hop,18,,,
Coolio,Rap,18,,,
Cosmo Sheldrake,Alternative,20,,,
Coyote Kisses,Electronic,7,,,
Craig David,Rock,21,,,
Craig David,R&B,15,,,
Craig David,Soul,15,,,
Cristian Marchi,Dance,17,,,
Cro,Dance,17,,,
Cro,Singer,10,,,
Cro,Hip Hop,18,,,
Cro,Songwriter,10,,,
Cro,Rap,18,,,
Crywolf,Electronic,7,,,
_Õ_ü„â_¡„Å,Pop,14,,,
_Õ_¡_È_µ__„â_ü__ _Á„â„Û„Ü___¡_È__,Pop,14,,,
Daddy Yankee,Latin Urban,1119,,,
Daddy Yankee,Latin,12,,,
DallasK,Dance,17,,,
Damien Rice,Pop,14,,,
Damien Rice,Singer,10,,,
Damien Rice,Songwriter,10,,,
Daniel Powter,Pop,14,,,
Dannic,Dance,17,,,
Danny Avila,Dance,17,,,
Danny Elfman,Soundtrack,16,,,
Darin,Pop,14,,,
Darren Hayes,Pop,14,,,
Darren Hayes,Rock,21,,,
Dash Berlin,Dance,17,,,
Dave Koz,Jazz,11,,,
David Arnold,Children's Music,4,,,
David Arnold,Soundtrack,16,,,
David Arnold,Standup Comedy,1171,,,
David Bowie,Pop,14,,,
David Bowie,Alternative,20,,,
David Bowie,Rock,21,,,
David Bowie,TV Soundtrack,1172,,,
David Garrett,Classical,5,,,
David Garrett,Pop,14,,,
David Guetta,Electronic,7,,,
David Guetta,Dance,17,,,
David Guetta,Rock,21,,,
David Lanz,New Age,13,,,
David Nevue,New Age,13,,,
Dawin,Pop,14,,,
deadmau5,Electronic,7,,,
deadmau5,Dance,17,,,
deadmau5,House,1048,,,
Dec3mber,Electronic,7,,,
Declan Galbraith,Pop,14,,,
Dennis Kuo,Classical,5,,,
Denny White,Pop,14,,,
Deorro,Dance,17,,,
Deutschland sucht den Superstar,Pop,14,,,
Different Heaven,Dance,17,,,
Dillon Francis,Dance,17,,,
Dima Bilan,Pop,14,,,
Dina Vass & Whipped Creem,Dance,17,,,
Dirk Reichardt,Relaxation,1129,,,
Dirty South,Comedy,3,,,
Dirty South,Electronic,7,,,
Dirty South,Pop,14,,,
Dirty South,Dance,17,,,
Dirty South,House,1048,,,
Distrion,Dance,17,,,
DJ Antoine,Dance,17,,,
DJ Antoine,Rock,21,,,
DJ Maxwell,Dance,17,,,
DJ Sly,Dance,17,,,
DJ Snake,Dance,17,,,
DJ Snake,Hip Hop,18,,,
DJ Snake,Rap,18,,,
Dogena,Dance,17,,,
Dogg Master,Hip Hop,18,,,
Dogg Master,Rap,18,,,
Don Diablo,Dance,17,,,
Don Mclean,Pop,14,,,
Don Mclean,Alternative,20,,,
Don Mclean,Rock,21,,,
Don Mclean,Oldies,1293,,,
Don Omar,Latin Urban,1119,,,
Don Omar,Reggae,24,,,
Don Williams,Country,6,,,
Don Williams,Pop,14,,,
Dr. Dre,Pop,14,,,
Dr. Dre,Hip Hop,18,,,
Dr. Dre,Rap,18,,,
Drake,Electronic,7,,,
Drake,Pop,14,,,
Drake,Dance,17,,,
Drake,Vocal,23,,,
Drake,Heavy Metal,1153,,,
Drake,Hip Hop,18,,,
Drake,Rap,18,,,
Dzeko & Torres,Dance,17,,,
East Side Beat,Dance,17,,,
Echos,Electronic,7,,,
Ed Harcourt,Alternative,20,,,
Ed Sheeran,Singer,10,,,
Ed Sheeran,Songwriter,10,,,
Ed Zealous,Electronic,7,,,
Eddie Meduza,Pop,14,,,
Eddie Vedder,Rock,21,,,
Eddy Wata,Dance,17,,,
Edward Maya,Dance,17,,,
EDX,Dance,17,,,
Egil Olsen,Alternative,20,,,
Eh!de,Electronic,7,,,
Electric Joy Ride,House,1048,,,
Electus,Electronic,7,,,
Elektronomia,Electronic,7,,,
Elephante,House,1048,,,
Elephante,Heavy Metal,1153,,,
Elephante,Electronic,7,,,
Elephante,Dance,17,,,
Eli Lieb,Pop,14,,,
Elliott Smith,Alternative,20,,,
Elliott Yamin,R&B,15,,,
Elliott Yamin,Soul,15,,,
Elmer Bernstein,Pop,14,,,
Elmer Bernstein,Soundtrack,16,,,
Elton John,Pop,14,,,
Elvis Costello,Alternative,20,,,
Elvis Costello,Rock,21,,,
Elvis Presley,Pop,14,,,
Emancipator,Electronic,7,,,
Eminem,Fitness & Workout,50,,,
Eminem,Hip Hop,18,,,
Eminem,Rap,18,,,
Endless Melancholy,Classical,5,,,
Engelbert Humperdinck,Classical,5,,,
Engelbert Humperdinck,Jazz,11,,,
Engelbert Humperdinck,Pop,14,,,
Engelbert Humperdinck,Vocal,23,,,
Engelbert Humperdinck,Easy Listening,25,,,
Engelbert Humperdinck,Baladas y Boleros,1120,,,
Enigma,Rap,1076,,,
Enigma,Pop,14,,,
Enio Morricone,Classical,5,,,
Enio Morricone,Pop,14,,,
Enrique Iglesias,Latin,12,,,
Enrique Iglesias,Pop,14,,,
ENV,Dance,17,,,
Eric Church,Country,6,,,
Eric Church,Pop,14,,,
Eric Clapton,Rock,21,,,
Eric Prydz,Dance,17,,,
Eric Saade,Pop,14,,,
Eric Serra,Soundtrack,16,,,
Eric Turner,Dance,17,,,
Erik Ekholm,Soundtrack,16,,,
Erik GrÌ_nwall,Rock,21,,,
Erik Satie,Classical,5,,,
Erik Satie,Jazz,11,,,
Erik Satie,Instrumental,53,,,
Ernesto Cortazar,Classical,5,,,
Ernesto Cortazar,World,19,,,
ESTA.,R&B,15,,,
ESTA.,Soul,15,,,
Evocativ,Electronic,7,,,
Example,Pop,14,,,
Example,Dance,17,,,
Example,Reggae,24,,,
Example,House,1048,,,
Example,Hip Hop,18,,,
Example,Rap,18,,,
Extra Terra,Electronic,7,,,
Fabian Mazur,Dance,17,,,
Fabolous,Hip Hop,18,,,
Fabolous,Rap,18,,,
Fabrizio Paterlini,Classical,5,,,
Fafaq,Dance,17,,,
Far East Movement,Dance,17,,,
Far Too Loud,Dance,17,,,
Fareoh,Dance,17,,,
Farruko,Latin Urban,1119,,,
Fat Joe,Pop,14,,,
Fat Joe,Hip Hop,18,,,
Fat Joe,Rap,18,,,
Fatih ErkoÌ_,Pop,14,,,
Fatman Scoop,Pop,14,,,
Faul,Dance,17,,,
Faux Tales,Pop,14,,,
Faxo,Pop,14,,,
Faydee,Pop,14,,,
Fedde le Grand,Dance,17,,,
Feed Me,Dance,17,,,
Feenixpawl,Dance,17,,,
Felix Jaehn,Dance,17,,,
Felix Mendelssohn,Classical,5,,,
Ferhat GÌ_Ì_er,Pop,14,,,
Ferras,Pop,14,,,
Ferry Corsten,Electronic,7,,,
Ferry Corsten,Dance,17,,,
Fetty Wap,Hip Hop,18,,,
Fetty Wap,Rap,18,,,
Finale,Soundtrack,16,,,
Finale,Hip Hop,18,,,
Finale,Rap,18,,,
Five for Fighting,Alternative,20,,,
FKJ,Electronic,7,,,
Flo Rida,Hip Hop,18,,,
Flo Rida,Rap,18,,,
Florian Bur,Instrumental,53,,,
Florian Picasso,Dance,17,,,
Flume,Electronic,7,,,
Flume,Pop,14,,,
Flume,Alternative,20,,,
Flume,House,1048,,,
Fox Stevenson,Dance,17,,,
Francesco Yates,Pop,14,,,
Francis Lai,Pop,14,,,
Francis Lai,Soundtrack,16,,,
Francis Lai,World,19,,,
Francois Feldman,French Pop,50000064,,,
Frank Klepacki,Soundtrack,16,,,
Frank Ocean,Pop,14,,,
Frank Sinatra,Vocal,23,,,
Franz Joseph Haydn,Classical,5,,,
Franz Liszt,Classical,5,,,
Franz Schubert,Classical,5,,,
Franzl Lang,Europe,1205,,,
Franzl Lang,Classical,5,,,
Freddie Joachim,Hip Hop,18,,,
Freddie Joachim,Rap,18,,,
French Montana,Hip Hop,18,,,
French Montana,Rap,18,,,
Frontliner,Dance,17,,,
FTampa,Dance,17,,,
Full Tilt,Soundtrack,16,,,
Furns,Pop,14,,,
Future of Forestry,Rock,21,,,
Future World Music,Soundtrack,16,,,
G-Eazy,Pop,14,,,
G-Eazy,Hip Hop,18,,,
G-Eazy,Rap,18,,,
GÌ_khan Ì_zen,Pop,14,,,
GÌ_khan TÌ_rkmen,Pop,14,,,
GÌ©rard Darmon,Rock,21,,,
GÌ©rard Darmon,French Pop,50000064,,,
GÌ_lÅÙen,Pop,14,,,
Gabriel Rios,Pop,14,,,
Gabry Ponte,Dance,17,,,
Galen Crew,Pop,14,,,
Galimatias,Electronic,7,,,
Gallant,Electronic,7,,,
Gallant,R&B,15,,,
Gallant,Soul,15,,,
Gareth Coker,Soundtrack,16,,,
Gareth Emery,Dance,17,,,
Gareth Gates,Pop,14,,,
Garou,French Pop,50000064,,,
Garth Brooks,Country,6,,,
Garth Brooks,Karaoke,52,,,
Gary Barlow,Pop,14,,,
Gavin DeGraw,Pop,14,,,
Gavin DeGraw,Rock,21,,,
Gene Kelly,Vocal,23,,,
George Benson,Vocal,23,,,
George Ezra,Alternative,20,,,
George Ezra,Singer,10,,,
George Ezra,Songwriter,10,,,
George Harrison,Pop,14,,,
George Harrison,Soundtrack,16,,,
George Harrison,Rock,21,,,
George Harrison,Pop,14,,,
George Harrison,Soundtrack,16,,,
George Harrison,Rock,21,,,
George Michael,Pop,14,,,
George Michael,Rock,21,,,
George Nozuka,Pop,14,,,
George Winston,Country,6,,,
George Winston,New Age,13,,,
George Winston,Christmas,1080,,,
Georges Bizet,Classical,5,,,
Germany Germany,Electronic,7,,,
Gheorghe Zamfir,Classical,5,,,
Gheorghe Zamfir,Pop,14,,,
Gil Shaham,Classical,5,,,
Gil Shaham,Rock,21,,,
Gin Blossoms,Rock,21,,,
Giraffage,Electronic,7,,,
Glen Hansard,Alternative,20,,,
Glenn Frey,Country,6,,,
Glenn Frey,Pop,14,,,
Glenn Gould,Classical,5,,,
Glenn Stafford,Soundtrack,16,,,
Gnash,Alternative Rap,1068,,,
Gnash,Pop,14,,,
Gothic Storm,Instrumental,53,,,
Gotye,Alternative,20,,,
GOVI,New Age,13,,,
GOVI,Dance,17,,,
Gowe,Hip Hop,18,,,
Gowe,Rap,18,,,
Grandtheft,Dance,17,,,
Grant-Lee Phillips,Electronic,7,,,
Grant-Lee Phillips,Rock,21,,,
Green Velvet,Dance,17,,,
Green Velvet,Rock,21,,,
Greg Laswell,Singer,10,,,
Greg Laswell,Songwriter,10,,,
Gregor Salto,Dance,17,,,
Greyson Chance,Pop,14,,,
Gui Boratto,Electronic,7,,,
Gui Boratto,Soundtrack,16,,,
Guido Negraszus,Electronic,7,,,
Gustavo Santaolalla,Latin,12,,,
Gustavo Santaolalla,Soundtrack,16,,,
Guy Sebastian,Pop,14,,,
Habstrakt,Electronic,7,,,
Haddaway,Electronic,7,,,
Haddaway,Pop,14,,,
Halil Sezai,World,19,,,
Halvorsen,Dance,17,,,
Hampenberg,Dance,17,,,
Hank Williams,Country,6,,,
Hannes Wader,Pop,14,,,
Hannes Wader,Singer,10,,,
Hannes Wader,Songwriter,10,,,
Hans Zimmer,Soundtrack,16,,,
HÌÏGO,World,19,,,
HÌÏGO,Alternative,20,,,
HÌÏGO,French Pop,50000064,,,
HÌÏGO,Afrikaans,1281,,,
Hardwell,Dance,17,,,
Hargulf,Dance,17,,,
Haris Pilton & Gypsy Soundsystem,Downtempo,1057,,,
"Harry Connick, Jr.",Vocal,23,,,
Harry Gregson-Williams,Pop,14,,,
Harry Gregson-Williams,Soundtrack,16,,,
Harry Nilsson,Pop,14,,,
Havana,Dance,17,,,
Haywyre,Dance,17,,,
Headhunterz,Dance,17,,,
Heatbeat,Trance,1051,,,
Heitor Pereira,Soundtrack,16,,,
Henri Salvador,Jazz,11,,,
Henry Fong,Electronic,100007,,,
Henry Fong,Electronic,7,,,
Henry Jackman,Soundtrack,16,,,
Henry John Morgan,Dance,17,,,
Henry Mancini,New Age,13,,,
Henry Mancini,Soundtrack,16,,,
Herbert von Karajan,Classical,5,,,
Herbie Hancock,Jazz,11,,,
Hermitude,Electronic,7,,,
Hiatus,Electronic,7,,,
Hillsong Worship,Christian & Gospel,22,,,
Himmel,Hip Hop,18,,,
Himmel,Rap,18,,,
Hitimpulse,Dance,17,,,
Hobbie Stuart,Pop,14,,,
HONNE,Alternative,20,,,
Hoodie Allen,Hip Hop,18,,,
Hoodie Allen,Rap,18,,,
Hook N Sling,Dance,17,,,
Hossam Ramzy,Classical,5,,,
Hossam Ramzy,New Age,13,,,
Hossam Ramzy,World,19,,,
Howard Shore,New Age,13,,,
Howard Shore,Soundtrack,16,,,
Hozier,Alternative,20,,,
Hucci,Alternative,20,,,
Hudson Mohawke,Electronic,7,,,
Hugh Grant,Soundtrack,16,,,
Hugh Jackman,Vocal,23,,,
Hunter Hayes,Country,6,,,
HVOB,Electronica,1058,,,
Hyper Potions,Dance,17,,,
iAmDLOW,Hip-Hop,1073,,,
iAmDLOW,Dance,17,,,
IAMNOBODI,Hip Hop,18,,,
IAMNOBODI,Rap,18,,,
Iamsu!,Hip Hop,18,,,
Iamsu!,Rap,18,,,
Ibranovski,Dance,17,,,
Ice Cube,Hip Hop,18,,,
Ice Cube,Rap,18,,,
Ice MC,Dance,17,,,
Ice MC,Rock,21,,,
IceJJFish,R&B,15,,,
IceJJFish,Soul,15,,,
idenline,Electronic,7,,,
Iggy Pop,Rock,21,,,
Igor Graphite,Electronic,7,,,
Igor Stravinsky,Classical,5,,,
Ilan Bluestone,Trance,1051,,,
Ilan Bluestone,Dance,17,,,
Ilan Eshkeri,Soundtrack,16,,,
ill.gates,Dubstep,100014,,,
Illenium,Dance,17,,,
Immediate Music,Soundtrack,16,,,
Inexus,Dance,17,,,
Ingram Washington,Jazz,11,,,
Inon Zur,Soundtrack,16,,,
Insan3lik3,Dance,17,,,
Inspir,Dance,17,,,
INSTRUM,Dance,17,,,
Instrumental Core,Electronic,7,,,
Iron & Wine,Alternative,20,,,
Isaac,Pop,14,,,
Isaac,Dance,17,,,
Isaac,Rock,21,,,
Isaac Hayes,Rock,21,,,
Isaac Hayes,R&B,15,,,
Isaac Hayes,Soul,15,,,
Isaac Sakima,Pop,14,,,
Isaac Shepard,Easy Listening,25,,,
Isac Elliot,Pop,14,,,
Itro,Dance,17,,,
Ivan Lins,Latin,12,,,
Ivan Lins,Brazilian,1122,,,
Iver Kleive,Classical,5,,,
Iwan Rheon,Singer,10,,,
Iwan Rheon,Songwriter,10,,,
Iyaz,Pop,14,,,
IYFFE,Dance,17,,,
J. Cole,Hip Hop,18,,,
J. Cole,Rap,18,,,
Jack Johnson,Pop,14,,,
Jack Johnson,Dance,17,,,
Jack Johnson,Rock,21,,,
Jack Johnson,Roots Rock,1159,,,
Jack Johnson,Ska,1194,,,
Jacoo,Electronic,7,,,
JaíÅnos Starker,Classical,5,,,
Jake Miller,Pop,14,,,
Jake Miller,Dance,17,,,
Jake Miller,Rock,21,,,
Jake Miller,Hip Hop,18,,,
Jake Miller,Rap,18,,,
James Blunt,Pop,14,,,
James Blunt,Rock,21,,,
James Horner,Pop,14,,,
James Horner,Soundtrack,16,,,
James Newton Howard,Soundtrack,16,,,
James Newton Howard,Rock,21,,,
Jamie Foxx,Pop,14,,,
Jamie Foxx,Hip Hop,18,,,
Jamie Foxx,Rap,18,,,
Jamillions,R&B,15,,,
Jamillions,Soul,15,,,
Janji,Electronic,7,,,
Jason Derulo,Pop,14,,,
Jason Mraz,Pop,14,,,
Jason Mraz,Alternative,20,,,
Jasper Forks,Dance,17,,,
Jay Hardway,Dance,17,,,
Jay Sean,Pop,14,,,
Jay Sean,Rock,21,,,
Jay Sean,Bollywood,1263,,,
Jay Sean,R&B,15,,,
Jay Sean,Soul,15,,,
Jay-Z,Hip Hop,18,,,
Jay-Z,Rap,18,,,
Jeff Bernat,R&B,15,,,
Jeff Bernat,Soul,15,,,
Jeff Williams,Soundtrack,16,,,
Jeremih,R&B,15,,,
Jeremih,Soul,15,,,
Jeremy Lim,Electronic,7,,,
Jeremy Soule,Soundtrack,1169,,,
Jesper Kyd,Soundtrack,16,,,
Jesse McCartney,Pop,14,,,
Jim Brickman,New Age,13,,,
Jim Yosef,Dance,17,,,
Joel Hanson,Holiday,8,,,
Johann Sebastian Bach,Classical,5,,,
John Denver,Country,6,,,
John Dreamer,Instrumental,53,,,
John H. Clarke,Electronic,7,,,
John Legend,Hip Hop,18,,,
John Legend,Rap,18,,,
John Lennon,Rock,21,,,
John Mayer,Jazz,11,,,
John Newman,Country,6,,,
John Newman,Pop,14,,,
John Newman,Dance,17,,,
John Newman,Soundtrack,1169,,,
John Powell,Soundtrack,16,,,
John Powell,Alternative,20,,,
John Stanford,Soundtrack,16,,,
John The Whistler,Dance,17,,,
John Williams,Classical,5,,,
John Williams,Soundtrack,16,,,
John Williams,World,19,,,
Johnny Cash,Country,6,,,
Johnny Cash,Holiday,8,,,
Johnny Cash,Pop,14,,,
Johnny Cash,Rock,21,,,
Johnny Cash,Christmas,1080,,,
Johnny Cash,Rock & Roll,1157,,,
Jon Bellion,Pop,14,,,
Jon Schmidt,Instrumental,53,,,
Josh Turner,Country,6,,,
Josh Turner,Pop,14,,,
Josh Turner,Alternative,20,,,
Josh Vietti,Pop,14,,,
Joshua Radin,Alternative,20,,,
Joshua Radin,Rock,21,,,
Joshua Radin,Singer,10,,,
Joshua Radin,Songwriter,10,,,
Juicy J,Hip Hop,18,,,
Juicy J,Rap,18,,,
Justin Bieber,Pop,14,,,
Justin Timberlake,Pop,14,,,
K-391,Electronic,7,,,
K'naan,Hip Hop,18,,,
K'naan,Rap,18,,,
Kaaze,Dance,17,,,
Kae Sun,Alternative,20,,,
Kanye West,Hip Hop,18,,,
Kanye West,Rap,18,,,
Kardinal Offishall,Hip Hop,18,,,
Kardinal Offishall,Rap,18,,,
Karlk,Dance,17,,,
Karunesh,New Age,13,,,
Kasger,Electronic,7,,,
Kaskade,Dance,17,,,
Kay B,Indian Pop,1185,,,
Kay B,R&B,15,,,
Kay B,Hip Hop,18,,,
Kay B,Soul,15,,,
Kay B,Rap,18,,,
KDA,Electronic,7,,,
KDA,Dance,17,,,
KDA,House,1048,,,
KDrew,Dance,17,,,
Keen'V,Dance,17,,,
Keith Urban,Country,6,,,
Kendji Girac,French Pop,50000064,,,
Kendrick Lamar,Hip Hop,18,,,
Kendrick Lamar,Rap,18,,,
Kenny Chesney,Country,6,,,
Kenny G,Jazz,11,,,
Kenny G,Pop,14,,,
Kenny G,Easy Listening,25,,,
Kenny Rogers,Country,6,,,
Kenny Rogers,Pop,14,,,
Kero One,Rock,21,,,
Kero One,Hip Hop,18,,,
Kero One,Rap,18,,,
Kevin Drew,Electronic,7,,,
Kevin Garrett,Pop,14,,,
kevin gates,Hip Hop,18,,,
kevin gates,Rap,18,,,
Kevin Kern,New Age,13,,,
Kid Cudi,Hip Hop,18,,,
Kid Cudi,Rap,18,,,
Kid Ink,Hip Hop,18,,,
Kid Ink,Rap,18,,,
Killigrew,Electronic,7,,,
Kim Cesarion,Pop,14,,,
Kim Wilde,Pop,14,,,
Kim Wilde,Dance,17,,,
Kjartan Salvesen,Pop,14,,,
Klaus Badelt,Soundtrack,16,,,
